Rate limit: 20
Getting list of top war clans
Getting battles for each clan
clan-worker-1: Requesting battles for 龍溪CR
clan-worker-2: Requesting battles for 上海 OP Elite
clan-worker-3: Requesting battles for Nova l 大唐天子
clan-worker-4: Requesting battles for RoyalFlush™
clan-worker-5: Requesting battles for Sandstorm Pro
clan-worker-6: Requesting battles for WHAM! eSports
clan-worker-7: Requesting battles for 薛家军
clan-worker-8: Requesting battles for Parabellum
clan-worker-9: Requesting battles for 娱乐至上
clan-worker-10: Requesting battles for North Rebellion
clan-worker-11: Requesting battles for One eSports
player-worker-1: Requesting battles for player RRJQPG9V
player-worker-2: Requesting battles for player PRPYRVU8
player-worker-3: Requesting battles for player 80Q8QGGLY
player-worker-4: Requesting battles for player 288UP9G
player-worker-5: Requesting battles for player 8UCC9Q
player-worker-6: Requesting battles for player PJY22YUC
player-worker-7: Requesting battles for player G9GPJLYL
player-worker-8: Requesting battles for player 9PJJQYQU
player-worker-9: Requesting battles for player 2YLJUR8CP
player-worker-10: Requesting battles for player JQ0PQQV2
player-worker-11: Requesting battles for player YU98C9J2
player-worker-12: Requesting battles for player C980RU9
player-worker-13: Requesting battles for player 2J9GG09R
player-worker-14: Requesting battles for player 20PRJ8V8
player-worker-15: Requesting battles for player 8U289GVV
player-worker-16: Requesting battles for player Y8LLL02R
player-worker-17: Requesting battles for player LP2L9LQ
player-worker-18: Requesting battles for player C0PQYR80
player-worker-19: Requesting battles for player GLGLVJ8V
player-worker-20: Requesting battles for player 222VUYY
player-worker-1: Requesting battles for player G8PQJVQC
player-worker-10: Requesting battles for player JVJ2RL
player-worker-7: Requesting battles for player 80YCLP8J2
player-worker-17: Requesting battles for player J0PPL29L
player-worker-8: Requesting battles for player 2G8PPC8Q9
player-worker-11: Requesting battles for player 88CQQVJ0
player-worker-2: Requesting battles for player 9200Q2P
player-worker-15: Requesting battles for player RY9YGGC
player-worker-3: Requesting battles for player L880CLYQ
player-worker-12: Requesting battles for player 2G09RY90
player-worker-5: Requesting battles for player YRVGGL9
player-worker-6: Requesting battles for player 2QUP89LG
player-worker-20: Requesting battles for player QYQ8V0V
player-worker-16: Requesting battles for player 8L99UP09
player-worker-14: Requesting battles for player 2PJQ90PV
player-worker-9: Requesting battles for player 2899LCJP
player-worker-4: Requesting battles for player 9VRCUJQJ
player-worker-19: Requesting battles for player 8UQ8CCG9
player-worker-18: Requesting battles for player YPRQGPGY
player-worker-1: Requesting battles for player 9Y88RQJ2
player-worker-13: Requesting battles for player 89PQ9LUL
player-worker-17: Requesting battles for player YCRLPPV2
player-worker-11: Requesting battles for player 20GLUR89Y
player-worker-10: Requesting battles for player UPRRCQLQ
player-worker-7: Requesting battles for player QRL0CG8J
player-worker-8: Requesting battles for player JGJ2RUCY
